"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"10",0,0,0,0
"100",0,0,-1,-0.513495685846153
"1000",1,0.498651601666666,1,0.671482989615386
"10000",0,0,1,0.711039629384616
"10001",0,0,1,0.521715157461539
"10002",0,0,-1,-0.610970152858975
"100033416",1,1.29791379066667,1,1.53971913182051
"100033433",1,1.29791379066667,1,1.53971913182051
"100033444",1,1.29791379066667,1,1.53971913182051
"100033450",1,1.29791379066667,1,1.53971913182051
"100033802",1,1.29791379066667,1,1.53971913182051
"100033820",1,1.29791379066667,1,1.53971913182051
"100037417",0,0,0,0
"10004",-1,-0.422989429999999,-1,-0.42927968925641
"10006",0,0,1,0.981228285948717
"10007",1,0.520627651833332,1,0.560752273628203
"100093631",1,0.720060302166667,1,0.765021921423079
"100093698",0,0,-1,-0.197500552474358
"10010",0,0,1,1.1487502725
"100101117",0,0,-1,-0.585962708858974
"100113381",0,0,1,0.43491398434615
"100124516",0,0,1,0.509473611538459
"100126332",0,0,0,0
"100126351",0,0,-1,-0.512287990179487
"100126791",0,0,-1,-0.443635598282052
"100128124",0,0,-1,-0.615274860730771
"100128329",0,0,0,0
"100128553",0,0,0,0
"100129271",0,0,-1,-0.923905463948719
"100129361",0,0,1,0.3910700830641
"100129405",0,0,-1,-0.372829955666669
"100129482",0,0,-1,-0.249263579615387
"100129518",0,0,-1,-0.466575765794872
"100129528",0,0,-1,-0.411607112820515
"100129583",0,0,0,0
"10013",0,0,-1,-0.561787627410257
"100130086",0,0,-1,-0.323650615038463
"100130348",0,0,-1,-1.20535810771795
"100130460",0,0,-1,-0.598036805564104
"100131205",0,0,1,0.447026519102566
"100131532",0,0,-1,-0.712549520102566
"100131755",0,0,-1,-0.428505225641026
"100131825",0,0,-1,-0.328474908987179
"100131827",0,0,0,0
"100132247",0,0,-1,-1.13175075761539
"100132285",0,0,-1,-0.689034803538462
"100132341",0,0,0,0
"100132406",0,0,1,1.07923791198718
"100132565",1,0.359902968333334,1,0.466283225153846
"100132832",1,0.515612184666667,1,0.445449275666664
"100132948",0,0,-1,-0.637056724628206
"100132979",1,0.359902968333334,1,0.466283225153846
"100133121",0,0,-1,-0.637056724628206
"100133941",0,0,0,0
"100134444",0,0,-1,-0.755242818102567
"100134713",0,0,-1,-0.425645231166668
"100134938",0,0,-1,-0.512570654769231
"100137049",0,0,0,0
"10014",0,0,0,0
"100142659",0,0,0,0
"10015",0,0,1,0.450924630884613
"10016",0,0,1,0.302433074230771
"100188893",1,0.502627943333334,1,0.384452103333334
"10019",0,0,1,0.322337570333333
"1002",-1,-0.358647498500001,-1,-0.808133494987181
"10020",0,0,1,0.44265948778205
"10021",-1,-0.540963307166668,-1,-0.430036926448719
"10024",-1,-0.412013793833336,-1,-0.331149737653849
"10025",0,0,-1,-0.723892030923079
"10026",1,0.499407770166666,1,1.49207443914102
"100271849",0,0,-1,-0.53972874874359
"100271927",0,0,0,0
"100272147",0,0,1,0.558028150371794
"100272216",0,0,0,0
"100287852",0,0,1,0.232503851217948
"100287932",0,0,0,0
"100288142",0,0,1,1.07923791198718
"100288289",0,0,-1,-0.995396298358975
"100288332",0,0,-1,-1.13175075761539
"100288687",0,0,-1,-0.995396298358975
"100288695",1,0.461943784833332,1,0.720944061269229
"100289097",0,0,1,0.794398336320512
"100289462",0,0,0,0
"100289473",0,0,-1,-0.44150273126923
"100290481",0,0,-1,-0.530828395115385
"100291626",0,0,-1,-0.995396298358975
"100293211",0,0,-1,-0.481207607705128
"100293534",0,0,0,0
"100294033",0,0,1,0.77309173753846
"1003",0,0,1,0.680656005923075
"100302138",0,0,-1,-0.816996203102566
"100302196",0,0,-1,-0.512287990179487
"100302240",0,0,1,0.722902026782052
"100302254",1,0.644943392833334,1,0.463530107038461
"100302263",0,0,0,0
"100302274",0,0,0,0
"100302285",-1,-0.389863407500001,-1,-0.300614895320514
"100302736",1,0.549100310166667,1,1.2124453685
"100316904",0,0,-1,-0.605604629205128
"10036",0,0,-1,-0.354206773474361
"100419743",0,0,-1,-0.995396298358975
"10042",0,0,1,0.719482661358973
"100422832",0,0,-1,-1.1330521614359
"100422872",-1,-0.389863407500001,0,0
"100422885",-1,-0.389863407500001,-1,-0.300614895320514
"100422899",0,0,-1,-1.1330521614359
"100422961",0,0,-1,-0.544821310551284
"100423004",0,0,-1,-0.544821310551284
"100423031",-1,-0.439528851166667,-1,-1.07048021883333
"10045",0,0,-1,-0.490741348102565
"100462953",1,0.564221907166666,1,0.379384961320512
"10047",0,0,-1,-0.300236221141025
"10048",1,0.784409568333335,1,1.07357498248718
"10049",1,1.2623212755,1,1.18146343039744
"100499177",1,0.527948063833333,1,0.511743543166666
"1005",-1,-0.376854797166668,-1,-0.440032109756413
"10050",0,0,0,0
"100500804",1,0.435110468333333,1,0.3760085925641
"100500810",1,0.492479985500001,1,0.440745505987181
"100500832",0,0,0,0
"100500840",0,0,1,0.846961666589742
"100500842",1,0.5727894725,1,1.18050714216667
"100505385",1,0.521252294333333,1,0.827174207897436
"100505494",0,0,0,0
"100505585",0,0,-1,-0.672509716551283
"100505761",0,0,-1,-0.524568225179486
"100505879",-1,-0.276324265166666,-1,-0.480158808089744
"100506144",0,0,1,0.735504046153846
"100506164",0,0,-1,-0.323650615038463
"100506190",-1,-0.439383463833333,-1,-0.527524813320514
"100506248",-1,-0.389863407500001,-1,-0.300614895320514
"100506403",-1,-0.445023851166668,-1,-0.992193546564104
"100506504",-1,-0.382247908333335,-1,-0.572471606846156
"100506558",0,0,1,0.748325143115383
"100506571",0,0,-1,-0.411477254692308
"100506581",0,0,-1,-0.391233609935898
"100506603",0,0,-1,-0.66749173320513
"100506639",0,0,1,0.478413059051284
"100506699",0,0,-1,-0.322835375512821
"100506718",0,0,1,0.87937188944872
"100506759",0,0,1,0.20655467180769
"100507113",1,0.477442510833333,1,0.954231893038463
"100507353",-1,-0.5080464315,-1,-0.961857955269232
"100507399",0,0,1,0.508830408999999
"100507424",0,0,-1,-0.540738811333332
"100507436",0,0,-1,-0.20626516421795
"100507472",0,0,0,0
"100507577",1,0.746941237166667,1,0.621164206679487
"100507630",0,0,-1,-0.48049940196154
"100507855",1,0.679841565833334,1,0.626180177474359
"100509457",0,0,1,1.24504661589744
"100509620",0,0,-1,-0.381388988525645
"100509646",0,0,-1,-0.305776107346155
"100509764",-1,-0.419836364,-1,-0.416014303512823
"10051",0,0,1,1.17589195035897
"100510710",0,0,-1,-0.314463869320512
"100526664",0,0,1,1.05879368730769
"100526693",0,0,-1,-1.61344954105128
