"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"3134",0,0,0,0
"3135",0,0,0,0
"3137",0,0,0,0
"3140",0,0,0,0
"3142",0,0,0,0
"3146",-1,-0.257394535071746,0,0
"3148",1,0.544674432541676,1,0.522087224043604
"3149",1,0.191385443201395,1,0.177507412260175
"3150",1,0.38976287118751,1,0.321762903966566
"3158",0,0,0,0
"3159",0,0,0,0
"316",-1,-0.297357564546283,-1,-0.362317921075578
"3162",0,0,0,0
"3163",-1,-0.856793793157396,-1,-0.815185851430231
"3164",0,0,-1,-0.328660858357559
"3166",0,0,0,0
"317",0,0,0,0
"3170",0,0,0,0
"3172",0,0,0,0
"3176",1,0.295006519652786,0,0
"3177",-1,-0.20916617277777,-1,-0.192211539133719
"3178",-1,-0.226837071020829,-1,-0.223608101670065
"318",0,0,0,0
"3181",0,0,0,0
"3183",-1,-0.486574799534718,0,0
"3184",0,0,0,0
"3185",-1,-0.242861017557863,-1,-0.276638668681687
"3187",-1,-0.317311622374993,-1,-0.281065038066862
"3188",0,0,0,0
"3189",0,0,1,0.235271784079941
"3190",0,0,0,0
"3192",-1,-0.216308676129627,-1,-0.185832288284884
"32",0,0,0,0
"320",0,0,0,0
"3202",0,0,0,0
"3206",0,0,0,0
"3208",0,0,0,0
"3211",0,0,0,0
"3212",0,0,0,0
"3213",0,0,0,0
"3224",0,0,0,0
"3227",0,0,0,0
"323",0,0,0,0
"3235",0,0,0,0
"3239",0,0,0,0
"324",0,0,0,0
"3240",0,0,0,0
"3241",-1,-0.360270432881939,-1,-0.327371495902614
"3249",0,0,0,0
"3250",0,0,0,0
"3251",0,0,1,0.207483966968027
"3263",0,0,0,0
"3265",0,0,0,0
"3267",-1,-0.245264299539346,-1,-0.28364754024564
"3268",0,0,0,0
"3269",0,0,0,0
"327",0,0,0,0
"3270",1,0.372015405849549,1,0.603741869370637
"3273",1,0.143908809567135,0,0
"3274",-1,-0.125898643187491,-1,-0.154986604978199
"3275",1,0.360096190046308,1,0.371438089627909
"3276",-1,-0.280574922155086,0,0
"3280",0,0,0,0
"3281",0,0,0,0
"329",0,0,0,0
"3290",0,0,0,0
"3295",0,0,0,0
"3297",-1,-0.235212922976846,-1,-0.219001302311048
"3298",0,0,0,0
"3299",0,0,0,0
"3300",-1,-0.209387353541657,-1,-0.165467059648255
"3301",-1,-0.503310997923597,-1,-0.493740088341573
"3303",-1,-0.771268862726842,-1,-0.677921665369183
"3304",-1,-0.771268862726842,-1,-0.677921665369183
"3305",-1,-0.601144527611101,-1,-0.57552339336628
"3306",1,0.603144238106488,1,0.496105284991278
