"GENE.NAME","Gene.name","Level","Reliability","conservative","liberal"
"646625","URAD",NA,NA,-1,-1
"6470","SHMT1","Not detected","Approved",-1,-1
"64711","HS3ST6",NA,NA,-1,-1
"64714","PDIA2","Not detected","Enhanced",-1,-1
"6472","SHMT2","Not detected","Enhanced",-1,-1
"64748","LPPR2",NA,NA,-1,-1
"6476","SI","Not detected","Enhanced",-1,-1
"64761","PARP12","Not detected","Approved",-1,-1
"64768","IPPK","Low","Uncertain",-1,0
"64772","ENGASE","Medium","Approved",1,1
"64781","CERK",NA,NA,-1,-1
"6480","ST6GAL1","Not detected","Supported",-1,-1
"64802","NMNAT1","Low","Approved",-1,0
"64816","CYP3A43","Not detected","Supported",-1,-1
"6482","ST3GAL1","Medium","Approved",1,1
"6483","ST3GAL2","Low","Approved",-1,0
"64834","ELOVL1","Medium","Approved",1,1
"6484","ST3GAL4","Not detected","Approved",-1,-1
"64841","GNPNAT1","Not detected","Approved",-1,-1
"64849","SLC13A3","Not detected","Enhanced",-1,-1
"64850","ETNPPL","Not detected","Approved",-1,-1
"64852","TUT1",NA,NA,-1,-1
"6487","ST3GAL3","Medium","Uncertain",1,1
"6489","ST8SIA1","Medium","Approved",1,1
"64895","PAPOLG","Medium","Approved",1,1
"649","BMP1","High","Enhanced",2,2
"64900","LPIN3","Not detected","Approved",-1,-1
"64902","AGXT2","Not detected","Enhanced",-1,-1
"65010","SLC26A6","Not detected","Approved",-1,-1
"6505","SLC1A1","Medium","Approved",1,1
"6506","SLC1A2","Not detected","Enhanced",-1,-1
"6507","SLC1A3","Not detected","Enhanced",-1,-1
"6508","SLC4A3",NA,NA,-1,-1
"6509","SLC1A4","Low","Approved",-1,0
"6510","SLC1A5","Medium","Enhanced",1,1
"6511","SLC1A6","Not detected","Enhanced",-1,-1
"6512","SLC1A7","Not detected","Supported",-1,-1
"6513","SLC2A1","Not detected","Enhanced",-1,-1
"6514","SLC2A2","Not detected","Enhanced",-1,-1
"6515","SLC2A3","Not detected","Approved",-1,-1
"6517","SLC2A4","High","Enhanced",2,2
"6518","SLC2A5","Not detected","Enhanced",-1,-1
"6519","SLC3A1","Not detected","Enhanced",-1,-1
"6520","SLC3A2","Not detected","Enhanced",-1,-1
"6521","SLC4A1","Not detected","Enhanced",-1,-1
"6522","SLC4A2","Low","Enhanced",-1,0
"65220","NADK","Medium","Uncertain",1,1
"6523","SLC5A1","Not detected","Enhanced",-1,-1
"6524","SLC5A2","Not detected","Enhanced",-1,-1
"6526","SLC5A3",NA,NA,-1,-1
"65263","PYCRL","Not detected","Uncertain",-1,-1
"6528","SLC5A5","Not detected","Enhanced",-1,-1
"6529","SLC6A1","Not detected","Enhanced",-1,-1
"6530","SLC6A2","Not detected","Enhanced",-1,-1
"6531","SLC6A3","Not detected","Supported",-1,-1
"6532","SLC6A4",NA,NA,-1,-1
"6533","SLC6A6","Low","Enhanced",-1,0
"6534","SLC6A7",NA,NA,-1,-1
"6535","SLC6A8",NA,NA,-1,-1
"6536","SLC6A9","Medium","Uncertain",1,1
"653689","GSTT2B",NA,NA,-1,-1
"6538","SLC6A11","Not detected","Supported",-1,-1
"6539","SLC6A12","Medium","Approved",1,1
"6540","SLC6A13",NA,NA,-1,-1
"6541","SLC7A1","Low","Approved",-1,0
"6542","SLC7A2",NA,NA,-1,-1
"6543","SLC8A2","Not detected","Enhanced",-1,-1
"654364","NME1-NME2","Not detected","Approved",-1,-1
"6546","SLC8A1","Medium","Uncertain",1,1
"6547","SLC8A3",NA,NA,-1,-1
"6548","SLC9A1","Low","Enhanced",-1,0
"6549","SLC9A2","Not detected","Approved",-1,-1
"6550","SLC9A3","Low","Enhanced",-1,0
"6553","SLC9A5",NA,NA,-1,-1
"6554","SLC10A1","Not detected","Approved",-1,-1
"6556","SLC11A1","Not detected","Uncertain",-1,-1
"6557","SLC12A1","Not detected","Enhanced",-1,-1
"6558","SLC12A2","Low","Approved",-1,0
"6559","SLC12A3","Not detected","Enhanced",-1,-1
"6560","SLC12A4","Medium","Approved",1,1
"6561","SLC13A1","Not detected","Enhanced",-1,-1
"6563","SLC14A1","Medium","Supported",1,1
"6564","SLC15A1","Not detected","Uncertain",-1,-1
"6565","SLC15A2",NA,NA,-1,-1
"6566","SLC16A1","Medium","Enhanced",1,1
"6567","SLC16A2",NA,NA,-1,-1
"6568","SLC17A1",NA,NA,-1,-1
"6569","SLC34A1","Not detected","Approved",-1,-1
"6570","SLC18A1","Not detected","Enhanced",-1,-1
"6571","SLC18A2","Not detected","Approved",-1,-1
"6572","SLC18A3",NA,NA,-1,-1
"6573","SLC19A1","Not detected","Approved",-1,-1
"6574","SLC20A1","Medium","Approved",1,1
"6575","SLC20A2","Medium","Approved",1,1
"6576","SLC25A1",NA,NA,-1,-1
"6578","SLCO2A1","Low","Enhanced",-1,0
"6579","SLCO1A2",NA,NA,-1,-1
"6580","SLC22A1","Medium","Approved",1,1
"6581","SLC22A3","Medium","Approved",1,1
"6582","SLC22A2","Not detected","Enhanced",-1,-1
"6583","SLC22A4","Not detected","Approved",-1,-1
"6584","SLC22A5",NA,NA,-1,-1
"65985","AACS","Medium","Approved",1,1
"66002","CYP4F12","Low","Approved",-1,0
"66035","SLC2A11","Not detected","Uncertain",-1,-1
"6609","SMPD1",NA,NA,-1,-1
"661","POLR3D","Medium","Enhanced",1,1
"6610","SMPD2","High","Uncertain",2,2
"6611","SMS","Low","Approved",-1,0
"6646","SOAT1","Not detected","Enhanced",-1,-1
"6647","SOD1","Low","Enhanced",-1,0
"6648","SOD2","Medium","Supported",1,1
"6649","SOD3","Low","Supported",-1,0
"6652","SORD","Not detected","Enhanced",-1,-1
"6675","UAP1","Medium","Approved",1,1
"6677","SPAM1","Not detected","Enhanced",-1,-1
"669","BPGM","Low","Enhanced",-1,0
"6697","SPR","Medium","Uncertain",1,1
"6713","SQLE","Medium","Enhanced",1,1
"6715","SRD5A1","Not detected","Approved",-1,-1
"6716","SRD5A2",NA,NA,-1,-1
"6718","AKR1D1","Not detected","Enhanced",-1,-1
"6723","SRM","High","Approved",2,2
"6748","SSR4","Not detected","Enhanced",-1,-1
"6770","STAR","Not detected","Enhanced",-1,-1
"6783","SULT1E1","Not detected","Enhanced",-1,-1
"6785","ELOVL4",NA,NA,-1,-1
"6799","SULT1A2","Low","Supported",-1,0
"6817","SULT1A1","Low","Supported",-1,0
"6818","SULT1A3","Not detected","Supported",-1,-1
"6819","SULT1C2","Not detected","Approved",-1,-1
"6820","SULT2B1","Not detected","Approved",-1,-1
"6821","SUOX","Medium","Approved",1,1
"6822","SULT2A1","Not detected","Enhanced",-1,-1
"683","BST1","Low","Uncertain",-1,0
"686","BTD","Low","Uncertain",-1,0
"6880","TAF9",NA,NA,-1,-1
"6888","TALDO1",NA,NA,-1,-1
"6897","TARS","Low","Approved",-1,0
"6898","TAT",NA,NA,-1,-1
"6916","TBXAS1","Not detected","Enhanced",-1,-1
"6999","TDO2","Not detected","Uncertain",-1,-1
"7047","TGM4","Not detected","Enhanced",-1,-1
"7051","TGM1","Not detected","Enhanced",-1,-1
"7052","TGM2","Medium","Enhanced",1,1
"7053","TGM3","Not detected","Enhanced",-1,-1
